Name,Type,Constraint_Type,Constraint_Value,Constraint_Unit,Constraint_Priority,Evaluation_Type,Objective_Value,Objective_Unit,Objective_Type
PTV62,PTV,D,95,%,1,>=,0.95,%,Mandatory
PTV62,PTV,D,98,%,2,>,0.95,%,Mandatory
PTV62,PTV,D,98,%,3,>=,0.98,%,Optimal
PTV62,PTV,D,Max,Gy,4,<,66.34,Gy,Mandatory
CTV62,CTV,D,98,%,1,>=,0.95,%,Mandatory
CTV62,CTV,D,98,%,2,>=,0.98,%,Optimal
PTV44,PTV,D,95,%,1,>=,0.95,%,Mandatory
PTV44,PTV,D,99,%,2,,,,%,
CTV44,CTV,D,Min,Gy,1,,,Gy,
CTV44,CTV,D,99,%,2,>=,0.95,%,Mandatory
PTV55,PTV,D,95,%,1,>=,0.95,%,Mandatory
CTV55,CTV,D,99,%,1,>=,0.95,%,Mandatory
Bladder,Avoidance,V,60.4,Gy,2,<=,0.03,%,Optimal
Bladder,Avoidance,V,60.4,Gy,2,<=,0.05,%,Mandatory
Bladder,Avoidance,V,56,Gy,3,<=,0.08,%,Optimal
Bladder,Avoidance,V,56,Gy,3,<=,0.10,%,Mandatory
Bladder,Avoidance,V,47,Gy,4,<=,0.10,%,Optimal
Bladder,Avoidance,V,47,Gy,4,<=,0.14,%,Mandatory
Bladder,Avoidance,V,38,Gy,5,<=,0.20,%,Optimal
Bladder,Avoidance,V,38,Gy,5,<=,0.25,%,Mandatory
Bladder,Avoidance,V,28.6,Gy,6,<=,0.25,%,Optimal
Bladder,Avoidance,V,28.6,Gy,6,<=,0.35,%,Mandatory
Bladder_Nplus,Avoidance,V,60.4,Gy,2,<=,0.03,%,Optimal
Bladder_Nplus,Avoidance,V,60.4,Gy,2,<=,0.05,%,Mandatory
Bladder_Nplus,Avoidance,V,56,Gy,3,<=,0.10,%,Optimal
Bladder_Nplus,Avoidance,V,56,Gy,3,<=,0.13,%,Mandatory
Bladder_Nplus,Avoidance,V,47,Gy,4,<=,0.20,%,Optimal
Bladder_Nplus,Avoidance,V,47,Gy,4,<=,0.25,%,Mandatory
Bladder_Nplus,Avoidance,V,38,Gy,5,<=,0.40,%,Optimal
Bladder_Nplus,Avoidance,V,38,Gy,5,<=,0.45,%,Mandatory
Bladder_Nplus,Avoidance,V,28.6,Gy,6,<=,0.55,%,Optimal
Bladder_Nplus,Avoidance,V,28.6,Gy,6,<=,0.65,%,Mandatory
Anorectum,Avoidance,V,60.4,Gy,2,<=,0.03,%,Optimal
Anorectum,Avoidance,V,60.4,Gy,2,<=,0.05,%,Mandatory
Anorectum,Avoidance,V,56,Gy,3,<=,0.12,%,Optimal
Anorectum,Avoidance,V,56,Gy,3,<=,0.15,%,Mandatory
Anorectum,Avoidance,V,47,Gy,4,<=,0.20,%,Optimal
Anorectum,Avoidance,V,47,Gy,4,<=,0.25,%,Mandatory
Anorectum,Avoidance,V,38,Gy,5,<=,0.30,%,Optimal
Anorectum,Avoidance,V,38,Gy,5,<=,0.40,%,Mandatory
Anorectum,Avoidance,V,28.6,Gy,6,<=,0.45,%,Optimal
Anorectum,Avoidance,V,28.6,Gy,6,<=,0.55,%,Mandatory
Anorectum_Nplus,Avoidance,V,60.4,Gy,2,<=,0.03,%,Optimal
Anorectum_Nplus,Avoidance,V,60.4,Gy,2,<=,0.05,%,Mandatory
Anorectum_Nplus,Avoidance,V,56,Gy,3,<=,0.12,%,Optimal
Anorectum_Nplus,Avoidance,V,56,Gy,3,<=,0.15,%,Mandatory
Anorectum_Nplus,Avoidance,V,47,Gy,4,<=,0.25,%,Optimal
Anorectum_Nplus,Avoidance,V,47,Gy,4,<=,0.30,%,Mandatory
Anorectum_Nplus,Avoidance,V,38,Gy,5,<=,0.40,%,Optimal
Anorectum_Nplus,Avoidance,V,38,Gy,5,<=,0.45,%,Mandatory
Anorectum_Nplus,Avoidance,V,28.6,Gy,6,<=,0.65,%,Optimal
Anorectum_Nplus,Avoidance,V,28.6,Gy,6,<=,0.75,%,Mandatory
Small_Bowel,Avoidance,V,47,Gy,2,<,80,cc,Mandatory
Small_Bowel_Nplus,Avoidance,V,47,Gy,2,<,80,cc,Mandatory
Femoral_Heads,Avoidance,V,40,Gy,3,<,0.50,%,Mandatory
Femoral_Heads_Nplus,Avoidance,V,40,Gy,3,<,0.50,%,Mandatory
